jour,mois,lum,agg,int,atm,col,catr,circ,vosp,prof,plan,surf,infra,situ,vma,place,sexe,an_nais,trajet,locp,senc,catv,obs,obsm,manv,nb_v,nb_u,hr,has_ceinture,has_gants,has_casque,has_airbag,has_gilet,has_de,choc_avant,choc_arriere,choc_gauche,choc_droit,target
21,12,nocturne,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,routiers,normale,50,passager,masculin,1999,personnelle,sans,decroissant,vl,aucun,vehicule,15,2,7,18,0,0,0,0,0,0,0,0,0,1,0
17,10,nocturne,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1983,professionnelle,sans,decroissant,vl,aucun,vehicule,23,2,4,22,1,0,0,0,0,0,0,1,0,0,0
10,10,crepuscule_aube,non,simple,difficiles,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,90,conducteur,feminin,1976,domicile,sans,croissant,vl,naturel,aucun,0,1,1,6,1,0,0,0,0,0,1,0,0,0,0
13,8,crepuscule_aube,non,aucun,normale,deux_vl,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,80,passager,masculin,1996,personnelle,sans,croissant,vl,aucun,vehicule,13,2,6,20,1,0,0,0,0,0,1,0,0,1,0
23,1,nocturne,oui,aucun,pluvieuses,autres,route_secondaire,complexe,sans,plat,rectiligne,humide,aucun,normale,50,conducteur,masculin,1963,domicile,sans,decroissant,vl,aucun,vehicule,23,3,3,20,1,0,0,0,0,0,0,1,0,0,1
2,10,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2017,personnelle,chaussee,decroissant,vl,aucun,pieton,2,1,5,10,0,0,0,0,0,0,1,0,0,0,1
17,8,jour,oui,aucun,normale,autres,route_principale,simple,sans,plat,courbe,normale,aucun,normale,50,pieton,feminin,2007,personnelle,chaussee,inconnu,vl,aucun,pieton,0,1,2,15,0,0,0,0,0,0,1,0,0,1,1
5,8,jour,oui,simple,normale,deux_vl,route_secondaire,complexe,avec,incline,rectiligne,normale,routiers,particuliere,50,conducteur,masculin,2002,personnelle,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,17,0,0,1,0,0,0,1,0,0,0,1
3,10,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,humide,aucun,normale,80,passager_avant,feminin,1939,personnelle,sans,croissant,vl,aucun,vehicule,1,2,5,20,1,0,0,0,0,0,1,0,0,0,1
5,1,nocturne,oui,simple,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1999,professionnelle,sans,decroissant,2rm,aucun,vehicule,1,2,2,19,0,0,1,0,1,0,1,0,0,0,1
21,10,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,routiers,normale,50,conducteur,masculin,2001,professionnelle,sans,inconnu,vl,aucun,vehicule,1,2,3,17,1,0,0,0,0,0,1,0,0,0,0
29,1,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,masculin,1998,personnelle,sans,inconnu,vl,aucun,vehicule,1,2,3,15,1,0,0,0,0,0,1,0,1,0,0
24,12,jour,non,aucun,normale,autres,route_principale,simple,sans,incline,courbe,normale,aucun,normale,70,conducteur,masculin,1990,personnelle,sans,inconnu,vl,naturel,aucun,1,1,2,10,0,0,0,0,0,0,0,0,0,0,1
10,7,jour,non,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,70,passager_avant,feminin,1954,personnelle,sans,croissant,vl,aucun,vehicule,15,2,4,17,1,0,0,0,0,0,1,0,1,0,0
11,8,crepuscule_aube,oui,aucun,normale,autres,route_principale,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager,feminin,2018,personnelle,sans,inconnu,vl,structurel,aucun,23,3,9,19,1,0,0,0,0,0,0,1,0,0,0
10,7,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,feminin,1974,personnelle,sans,croissant,vl,structurel,aucun,10,2,2,13,1,0,0,0,0,0,1,0,1,0,0
23,9,nocturne,non,aucun,pluvieuses,deux_vl,route_principale,simple,sans,plat,rectiligne,humide,aucun,normale,70,conducteur,masculin,1965,personnelle,sans,croissant,vl,aucun,vehicule,1,2,3,20,1,0,0,0,0,0,1,0,0,0,1
6,2,jour,oui,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,routiers,normale,80,conducteur,masculin,1985,personnelle,sans,croissant,cycle_edp,aucun,vehicule,1,2,2,11,0,0,1,0,0,0,0,0,0,1,1
25,2,jour,non,simple,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,feminin,1952,personnelle,sans,decroissant,vl,aucun,vehicule,19,2,3,16,1,0,0,0,0,0,1,0,1,0,1
3,9,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,30,conducteur,masculin,1997,autre,sans,croissant,cycle_edp,structurel,aucun,14,1,1,2,0,0,1,0,0,0,0,0,0,0,0
14,10,jour,oui,simple,pluvieuses,deux_vl,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,30,passager_avant,feminin,2007,personnelle,sans,croissant,vl,aucun,pieton,1,2,4,17,1,0,0,0,0,0,1,0,0,0,0
29,6,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,zones,normale,50,passager,masculin,2018,personnelle,sans,inconnu,vl,aucun,vehicule,2,3,6,15,0,0,0,0,0,1,0,1,0,0,0
9,7,jour,oui,aucun,normale,deux_vl,autre,simple,sans,plat,rectiligne,normale,zones,particuliere,30,conducteur,masculin,1982,professionnelle,sans,inconnu,vl,aucun,vehicule,15,2,2,10,1,0,0,0,0,0,1,0,1,0,0
5,3,jour,oui,complexe,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2006,domicile,chaussee,decroissant,vl,aucun,pieton,1,1,2,17,0,0,0,0,0,0,1,0,0,1,1
10,12,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1987,domicile,sans,croissant,vl,aucun,vehicule,2,2,2,5,0,0,0,0,0,0,1,0,0,1,0
13,12,nocturne,non,aucun,pluvieuses,autres,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,particuliere,80,passager,masculin,2002,personnelle,sans,decroissant,vl,naturel,aucun,2,1,4,21,0,0,0,0,0,0,1,0,0,0,1
26,12,nocturne,oui,aucun,pluvieuses,autres,route_secondaire,simple,sans,plat,courbe,humide,aucun,normale,50,pieton,feminin,1947,personnelle,chaussee,inconnu,vl,aucun,pieton,1,1,1,20,0,0,0,0,0,0,1,0,0,0,1
28,6,jour,non,aucun,normale,autres,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,80,conducteur,masculin,1954,personnelle,sans,croissant,vl,aucun,vehicule,1,3,5,9,1,0,0,0,0,0,0,1,1,0,0
3,5,jour,oui,complexe,normale,autres,autre,simple,sans,plat,rectiligne,autre,zones,particuliere,10,pieton,masculin,2015,personnelle,sans,inconnu,2rm,aucun,pieton,26,1,2,19,0,0,0,0,0,0,0,0,0,0,1
25,9,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,passager_avant,masculin,1987,personnelle,sans,croissant,vl,aucun,vehicule,1,2,2,18,0,1,1,0,0,0,1,0,0,0,1
30,11,nocturne,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,pieton,masculin,2000,personnelle,chaussee,inconnu,vl,aucun,pieton,1,1,2,3,0,0,0,0,0,0,1,0,0,0,1
20,7,jour,oui,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,50,conducteur,feminin,1981,personnelle,sans,inconnu,2rm,aucun,vehicule,1,2,2,15,0,0,1,0,0,0,1,0,0,0,0
13,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,80,conducteur,masculin,1951,autre,sans,decroissant,vl,aucun,vehicule,2,2,3,18,1,0,0,0,0,0,1,0,0,0,1
21,10,crepuscule_aube,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,pieton,masculin,2006,personnelle,autre,croissant,pl,aucun,pieton,1,1,2,18,0,0,0,0,0,0,0,0,0,1,1
29,5,jour,non,aucun,normale,autres,route_principale,complexe,sans,plat,rectiligne,normale,aucun,normale,90,conducteur,feminin,1974,personnelle,sans,croissant,vl,aucun,vehicule,1,1,1,12,1,0,0,0,0,0,1,0,0,0,0
23,8,jour,non,aucun,normale,sans_collision,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,80,conducteur,masculin,1972,personnelle,sans,inconnu,2rm,aucun,aucun,14,1,1,13,0,1,1,0,0,0,1,0,0,1,1
4,12,jour,oui,complexe,difficiles,autres,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,30,pieton,feminin,1955,personnelle,chaussee,inconnu,vl,aucun,pieton,15,1,2,13,0,0,0,0,0,0,1,0,1,0,1
26,8,jour,oui,simple,normale,autres,route_secondaire,simple,avec,incline,rectiligne,normale,aucun,particuliere,50,conducteur,masculin,1992,autre,sans,decroissant,cycle_edp,aucun,pieton,1,1,2,19,0,0,1,0,0,0,1,0,0,0,0
24,1,nocturne,non,aucun,normale,deux_vl,route_secondaire,simple,sans,incline,courbe,normale,aucun,normale,70,conducteur,masculin,1972,domicile,sans,croissant,vl,aucun,vehicule,0,2,2,6,1,0,0,0,0,0,1,0,0,0,0
10,8,jour,oui,aucun,normale,deux_vl,route_urbaine,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1989,autre,sans,croissant,2rm,aucun,vehicule,0,2,2,11,0,0,1,0,0,0,1,0,0,0,1
14,11,nocturne,oui,aucun,normale,autres,route_secondaire,complexe,sans,plat,rectiligne,normale,aucun,normale,110,conducteur,masculin,1947,personnelle,sans,croissant,vl,aucun,aucun,2,4,4,18,1,0,0,0,0,0,0,1,0,0,1
26,3,jour,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,70,pieton,feminin,1983,personnelle,chaussee,croissant,vl,aucun,pieton,1,1,2,8,0,0,0,0,0,0,1,0,0,1,0
19,2,jour,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,30,conducteur,masculin,1953,personnelle,sans,inconnu,cycle_edp,aucun,vehicule,0,2,2,16,0,0,1,0,0,0,0,0,0,1,1
9,2,jour,oui,aucun,pluvieuses,sans_collision,route_secondaire,simple,sans,plat,rectiligne,humide,aucun,normale,60,conducteur,feminin,1992,personnelle,sans,croissant,vl,aucun,aucun,0,1,1,17,1,0,0,0,0,0,1,1,1,1,0
9,1,nocturne,oui,aucun,normale,autres,route_secondaire,simple,sans,plat,courbe,normale,aucun,normale,50,passager_avant,masculin,1990,personnelle,sans,croissant,vl,structurel,aucun,0,1,2,5,0,0,0,0,0,0,1,0,1,0,0
23,7,jour,non,complexe,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,90,passager,masculin,2012,personnelle,sans,croissant,vl,aucun,vehicule,1,2,4,14,1,0,0,0,0,0,1,0,0,1,1
9,4,jour,oui,aucun,pluvieuses,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,50,conducteur,masculin,1976,professionnelle,sans,croissant,vl,aucun,vehicule,1,2,2,11,1,0,0,0,0,0,1,0,1,0,0
15,6,jour,non,aucun,normale,deux_vl,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,1959,professionnelle,sans,croissant,vl,aucun,vehicule,1,1,1,7,1,0,0,0,0,0,1,0,0,0,1
26,9,nocturne,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,zones,normale,50,passager_avant,masculin,1975,personnelle,sans,inconnu,vl,aucun,vehicule,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0
20,9,nocturne,oui,complexe,normale,deux_vl,route_secondaire,simple,sans,incline,rectiligne,normale,aucun,normale,30,passager,masculin,2017,autre,sans,decroissant,vl,aucun,vehicule,9,2,3,19,1,0,0,0,0,0,1,0,0,1,0
24,8,jour,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,particuliere,80,conducteur,masculin,1991,personnelle,sans,croissant,vl,naturel,aucun,1,1,1,18,0,0,0,0,0,0,1,1,1,1,1
8,5,nocturne,non,aucun,normale,autres,route_secondaire,simple,sans,plat,rectiligne,normale,aucun,normale,80,conducteur,masculin,2003,personnelle,sans,croissant,2rm,aucun,aucun,1,4,7,5,0,0,1,0,0,0,0,1,0,0,1
